DATE,WITHDRAWAL_AMT,DEPOSIT_AMT
29-Jun-17,," 10,00,000.00 "
05-Jul-17,," 10,00,000.00 "
18-Jul-17,," 5,00,000.00 "
01-Aug-17,," 30,00,000.00 "
16-Aug-17,," 5,00,000.00 "
16-Aug-17,," 5,00,000.00 "
16-Aug-17,," 5,00,000.00 "
16-Aug-17,," 5,00,000.00 "
16-Aug-17,," 5,00,000.00 "
16-Aug-17,," 5,00,000.00 "
16-Aug-17," 1,33,900.00 ",
16-Aug-17," 18,000.00 ",
16-Aug-17," 5,000.00 ",
16-Aug-17," 1,95,800.00 ",
16-Aug-17," 81,600.00 ",
16-Aug-17," 41,800.00 ",
16-Aug-17," 98,500.00 ",
16-Aug-17," 1,43,800.00 ",
16-Aug-17," 3,31,650.00 ",
16-Aug-17," 1,29,000.00 ",
16-Aug-17," 2,30,013.00 ",
16-Aug-17," 3,67,900.00 ",
16-Aug-17," 1,08,000.00 ",
16-Aug-17," 64,800.00 ",
16-Aug-17," 1,41,000.00 ",
16-Aug-17," 61,750.00 ",
16-Aug-17," 67,920.00 ",
16-Aug-17," 78,100.00 ",
16-Aug-17," 35,650.00 ",
16-Aug-17," 2,06,000.00 ",
16-Aug-17," 35,300.00 ",
16-Aug-17," 49,800.00 ",
16-Aug-17," 53,000.00 ",
16-Aug-17," 91,300.00 ",
16-Aug-17," 57,499.00 ",
16-Aug-17," 20,000.00 ",
16-Aug-17," 19,400.00 ",
06-Sep-17," 40,500.00 ",
06-Sep-17," 2,42,300.00 ",
06-Sep-17," 90,100.00 ",
06-Sep-17," 1,13,250.00 ",
06-Sep-17," 12,500.00 ",
06-Sep-17," 40,000.00 ",
06-Sep-17," 2,06,900.00 ",
06-Sep-17," 2,76,000.00 ",
06-Sep-17," 1,71,000.00 ",
06-Sep-17," 40,100.00 ",
06-Sep-17," 1,89,800.00 ",
06-Sep-17," 55,800.00 ",
06-Sep-17," 95,400.00 ",
06-Sep-17," 2,71,323.00 ",
06-Sep-17," 2,00,600.00 ",
06-Sep-17," 1,76,900.00 ",
06-Sep-17," 1,50,050.00 ",
06-Sep-17," 82,500.00 ",
06-Sep-17," 14,800.00 ",
06-Sep-17," 1,50,600.00 ",
06-Sep-17," 2,03,325.00 ",
06-Sep-17," 1,23,900.00 ",
06-Sep-17," 33,863.00 ",
06-Sep-17," 32,000.00 ",
06-Sep-17," 8,299.00 ",
06-Sep-17," 52,219.00 ",
06-Sep-17," 96,450.00 ",
06-Sep-17," 1,39,863.00 ",
06-Sep-17," 52,723.00 ",
